id,strategies,round,assets
44,random,18,2128
45,defect,18,2960
46,random,18,1946
47,coop,18,290
48,random,18,1979
49,random,18,1992
50,defect,18,3074
51,defect,18,2995
52,defect,18,2869
53,tft,18,379
54,tft,18,395
55,coop,18,314
56,tft,18,396
57,tft,18,407
58,defect,18,2785
59,random,18,1828
60,random,18,2262
61,tft,18,367
62,random,18,1868
63,random,18,1945
64,tft,18,390
65,tft,18,387
66,tft,18,375
67,random,18,2029
68,coop,18,341
69,defect,18,3195
70,random,18,2183
71,defect,18,3007
72,random,18,2101
73,tft,18,353
74,coop,18,310
75,defect,18,2944
76,random,18,2180
77,tft,18,432
78,tft,18,384
79,defect,18,3020
80,random,18,2179
81,coop,18,318
82,tft,18,380
83,random,18,2191
84,random,18,1939
85,tft,18,362
86,coop,18,268
87,tft,18,388
88,coop,18,308
89,tft,18,336
90,coop,18,322
91,defect,18,2853
92,coop,18,283
93,coop,18,294
94,defect,18,2921
95,tft,18,398
96,coop,18,289
97,tft,18,391
98,defect,18,2885
99,random,18,2099
0,coop,19,334
1,coop,19,316
2,tft,19,383
3,tft,19,376
4,random,19,2122
5,random,19,2165
6,coop,19,303
7,coop,19,322
8,coop,19,301
9,random,19,2089
10,tft,19,373
11,random,19,451
12,random,19,2046
13,tft,19,405
14,defect,19,2881
15,tft,19,369
16,random,19,2134
17,random,19,2014
18,tft,19,402
19,coop,19,321
20,random,19,411
21,defect,19,3162
22,defect,19,3127
23,defect,19,3158
24,random,19,2149
25,random,19,422
26,coop,19,262
27,tft,19,381
28,defect,19,2923
29,tft,19,332
30,tft,19,358
31,random,19,2007
32,defect,19,3037
33,defect,19,3120
34,tft,19,357
35,tft,19,359
36,defect,19,2987
37,tft,19,327
38,defect,19,3240
39,coop,19,289
40,defect,19,3003
41,tft,19,370
42,random,19,2280
43,random,19,2134
44,random,19,2212
45,defect,19,3068
46,random,19,2048
47,coop,19,290
48,random,19,2073
49,random,19,2080
50,defect,19,3210
51,defect,19,3119
52,defect,19,2981
53,tft,19,379
54,tft,19,395
55,coop,19,314
56,tft,19,396
57,tft,19,407
58,defect,19,2897
59,random,19,1900
60,random,19,2346
61,tft,19,367
62,random,19,1950
63,random,19,2019
64,tft,19,390
65,tft,19,387
66,tft,19,375
67,random,19,2099
68,coop,19,341
69,defect,19,3323
70,random,19,2293
71,defect,19,3131
72,random,19,2171
73,tft,19,353
74,coop,19,310
75,defect,19,3076
76,random,19,2264
77,tft,19,432
78,tft,19,384
79,defect,19,3132
80,random,19,2257
81,coop,19,318
82,tft,19,380
83,random,19,2305
84,random,19,2015
85,tft,19,362
86,coop,19,268
87,tft,19,388
88,coop,19,308
89,tft,19,336
90,coop,19,322
91,defect,19,2965
92,coop,19,283
93,coop,19,294
94,defect,19,3041
95,tft,19,398
96,coop,19,289
97,tft,19,391
98,defect,19,3001
99,random,19,2191
0,coop,20,334
1,coop,20,316
2,tft,20,383
